step,train_ce,test_ce,train_mae,test_mae,train_rmse,test_rmse,mae_ci95,rmse_ci95,mae_seconds,bias,p95_abs_error,terminal_mae,initial_mae,macro_spearman,macro_kendall,sampled_reverse_fraction,sampled_delta_mae,quartile_mae,rmse_skill_vs_train_constant_mean
3250,1.6537707565252535,2.697896814988261,0.005190528617796579,0.012348451076052567,0.009033585289593294,0.020562298769727188,"[0.009641194040688918, 0.01542951892005411]","[0.01482600601349663, 0.02600951448424183]",6.12565496379381,0.003836407856267345,0.04405469670891758,0.003661123557581699,0.021521744451352527,0.9855794407205697,0.9317396313364057,0.23214285714285715,0.006237880268465719,"[0.01952278007852978, 0.014252521555005972, 0.011019250700233638, 0.004599251970440881]",0.9054746783940147
3500,1.5803158713637717,2.811077907332219,0.0049753828673471745,0.012304504406529304,0.00896394399507147,0.019913950306775667,"[0.009798293201989898, 0.015167189365531287]","[0.014825835667283974, 0.024923893796846872]",6.103854485932303,0.0018242992426686605,0.04079289510846128,0.004124370187387935,0.02107038282390152,0.9859132802681189,0.9333237327188941,0.23329493087557607,0.006088484686204931,"[0.018532926391344517, 0.014426245395692863, 0.011134486472915992, 0.005124359366163844]",0.9113416444922023
3750,1.5799976811977103,2.812896906797375,0.004542389879264063,0.012570599171080435,0.007740940884541942,0.020766620059655377,"[0.009883300525254006, 0.01562786444067114]","[0.015270047333563203, 0.026069631478145717]",6.235855228800634,0.00507900738414589,0.04331357814371564,0.003987346064864791,0.02143572789749929,0.9850099497276915,0.9301555299539173,0.24193548387096772,0.005927988223024441,"[0.020217099534680268, 0.014799295650196395, 0.01086007546525382, 0.004405926034191258]",0.903586806593822
4000,1.4719868156160894,2.8534195201604495,0.004138119196081139,0.012314984612073334,0.0072235641487000575,0.02037578068331579,"[0.009674796951110563, 0.015270073891565516]","[0.015113712977729883, 0.0254233831164899]",6.109053366562512,0.003395724249847782,0.04201923310756679,0.003647977698294978,0.021554496006241868,0.983956064097193,0.9308035714285715,0.22926267281105991,0.005990711302461086,"[0.019665587701768215, 0.013596261926327966, 0.011050153808485317, 0.004947935011711836]",0.9071817559366623
4250,1.4650175065533924,2.9569981266977265,0.004004377348207656,0.01260634377727651,0.006852326875041226,0.02104805141390032,"[0.009864144735887034, 0.01570729140693499]","[0.015352027282450642, 0.026435690611659145]",6.2535869364476335,0.004605494563553033,0.04202968366444109,0.004004191810963675,0.023060949386230538,0.9854092480100543,0.9352678571428573,0.2252304147465438,0.0057605540417166945,"[0.02072408139273258, 0.014417773129285447, 0.010622312266994933, 0.004661208320093075]",0.9009558965261577
4500,1.498397756700537,3.124361888256057,0.004514345955288134,0.012537638896771699,0.007593059144671336,0.019700550284093007,"[0.010167924540449545, 0.015167630846402906]","[0.015182788232586756, 0.024093334131918907]",6.21950473539188,0.0004047002113501159,0.040471458435058526,0.0035068921819661875,0.020390146811093603,0.9833211143695014,0.9295074884792628,0.222926267281106,0.006179096846608445,"[0.018993612902704626, 0.014322024836604084, 0.011167005134796324, 0.0056679127129817585]",0.9132316082661256
4750,1.3535543945701127,3.0535882074036635,0.0033942415242823438,0.012096945588512296,0.004993921920945202,0.01993837759208188,"[0.009551130615903146, 0.015036409854498547]","[0.01459007386741402, 0.025102493680616754]",6.000891474941333,0.0033698690174008205,0.039720166474580716,0.003439879570838197,0.020645603138421263,0.9864762253875156,0.9362759216589863,0.222926267281106,0.005749290751431177,"[0.019318398828285614, 0.013734953498767157, 0.010727020828718585, 0.00460740919827783]",0.9111240069898406
5000,1.3776525749043296,3.1613648078720353,0.0037183303579045707,0.012205267450748838,0.005461770336362534,0.019785683785299775,"[0.009678878386570692, 0.015014410219459607]","[0.014944834688116596, 0.02441033571961881]",6.054626340068141,0.002986752805099968,0.04117405116558062,0.0034387932100798935,0.021389147266745567,0.9854027021365729,0.9340437788018434,0.2240783410138249,0.005808490393806704,"[0.019193156381204193, 0.013653294815282737, 0.010965058490650595, 0.005009560115857832]",0.9124800700950286
5250,1.2647498732382831,3.1953839115199765,0.00305130604504354,0.012185238785670143,0.004781080094169378,0.01979823060828771,"[0.009678206986185548, 0.015028063885806985]","[0.014736497640155383, 0.024696147332799928]",6.044690786944769,0.002617033411232634,0.039567648340016595,0.002621225149986068,0.020448635199240277,0.9866464180980309,0.9380040322580647,0.21370967741935482,0.005705921275046019,"[0.019366767615013356, 0.013729825707352055, 0.010653661821769285, 0.0049906999985458765]",0.912369035747969
5500,1.2102301402649442,3.2632757941527024,0.0027222707202391966,0.012187551799797802,0.004057611188830877,0.019628495691767344,"[0.009722804990194943, 0.014958144678002683]","[0.014705070961006773, 0.02437818923748594]",6.04583819615303,0.0031536610031253076,0.039619627967476825,0.0029841687833790536,0.021116592522178377,0.9854812526183493,0.9351958525345624,0.21831797235023043,0.005757088966419264,"[0.01954975093914462, 0.013675181602593511, 0.010713345429394394, 0.004811929228058683]",0.9138651568293331
